web-scraper-order,web-scraper-start-url,Club,Weekly Gross (IN EUR,000's),Annual Gross (IN EUR,000's),Adj Gross (IN EUR,000's),Keeper (IN EUR,000's),Defense (IN EUR,000's),Midfield (IN EUR,000's),Forward (IN EUR,000's)
1647795424-76,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Paderborn,€135.00,"€7,010.00","€7,010.00",€630.00,"€1,550.00","€1,590.00","€3,240.00",,,,,,,
1647795424-44,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Wolfsburg,"€1,286.00","€66,870.00","€66,870.00","€3,880.00","€21,010.00","€18,280.00","€23,700.00",,,,,,,
1647795424-50,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Eintracht Frankfurt,€828.00,"€43,070.00","€43,070.00","€5,220.00","€10,560.00","€15,050.00","€12,240.00",,,,,,,
1647795424-55,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Dusseldorf,€422.00,"€21,950.00","€21,950.00","€4,090.00","€6,230.00","€6,400.00","€5,230.00",,,,,,,
1647795424-47,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Schalke 04,€935.00,"€48,630.00","€48,630.00","€1,620.00","€16,650.00","€18,480.00","€11,880.00",,,,,,,
1647795424-46,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Hertha Berlin,€958.00,"€49,810.00","€49,810.00","€3,020.00","€9,730.00","€10,370.00","€26,690.00",,,,,,,
1647795424-56,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Union Berlin,€412.00,"€21,400.00","€21,400.00","€1,450.00","€5,470.00","€3,400.00","€11,080.00",,,,,,,
1647795424-59,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Bayern Munich,"€3,699.00","€192,370.00","€192,370.00","€21,100.00","€58,920.00","€36,500.00","€75,850.00",,,,,,,
1647795424-66,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Bayer Leverkusen,€920.00,"€47,820.00","€47,820.00","€3,310.00","€14,200.00","€10,550.00","€19,760.00",,,,,,,
1647795424-65,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Schalke 04,€935.00,"€48,630.00","€48,630.00","€1,620.00","€16,650.00","€18,480.00","€11,880.00",,,,,,,
1647795424-63,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Borussia Monchengladbach,"€1,039.00","€54,050.00","€54,050.00","€3,770.00","€13,520.00","€10,420.00","€26,340.00",,,,,,,
1647795424-67,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Hoffenheim,€916.00,"€47,650.00","€47,650.00","€3,820.00","€11,500.00","€14,320.00","€18,010.00",,,,,,,
1647795424-64,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Hertha Berlin,€958.00,"€49,810.00","€49,810.00","€3,020.00","€9,730.00","€10,370.00","€26,690.00",,,,,,,
1647795424-42,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Borussia Dortmund,"€2,054.00","€106,820.00","€106,820.00","€4,610.00","€26,010.00","€33,980.00","€42,220.00",,,,,,,
1647795424-45,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Borussia Monchengladbach,"€1,039.00","€54,050.00","€54,050.00","€3,770.00","€13,520.00","€10,420.00","€26,340.00",,,,,,,
1647795424-73,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Dusseldorf,€422.00,"€21,950.00","€21,950.00","€4,090.00","€6,230.00","€6,400.00","€5,230.00",,,,,,,
1647795424-43,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,RB Leipzig,"€1,360.00","€70,740.00","€70,740.00","€5,630.00","€20,620.00","€14,180.00","€30,310.00",,,,,,,
1647795424-48,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Bayer Leverkusen,€920.00,"€47,820.00","€47,820.00","€3,310.00","€14,200.00","€10,550.00","€19,760.00",,,,,,,
1647795424-52,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Koln,€749.00,"€38,930.00","€38,930.00","€3,770.00","€10,640.00","€11,250.00","€13,270.00",,,,,,,
1647795424-68,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Eintracht Frankfurt,€828.00,"€43,070.00","€43,070.00","€5,220.00","€10,560.00","€15,050.00","€12,240.00",,,,,,,
1647795424-74,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Union Berlin,€412.00,"€21,400.00","€21,400.00","€1,450.00","€5,470.00","€3,400.00","€11,080.00",,,,,,,
1647795424-51,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Werder Bremen,€818.00,"€42,540.00","€42,540.00","€3,100.00","€15,600.00","€10,580.00","€13,260.00",,,,,,,
1647795424-54,https://www.capology.com/de/1-bundesliga/payrolls/2019-2020/,Mainz,€505.00,"€26,250.00","€26,250.00",€950.00,"€11,480.00","€4,780.00","€9,040.00",,,,,,,
