web-scraper-order,web-scraper-start-url,Club,Weekly Gross (IN EUR,000's),Annual Gross (IN EUR,000's),Adj Gross (IN EUR,000's),Keeper (IN EUR,000's),Defense (IN EUR,000's),Midfield (IN EUR,000's),Forward (IN EUR,000's)
1648055315-32,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Espanyol,€645.00,"€33,520.00","€33,520.00","€5,500.00","€10,490.00","€6,220.00","€11,310.00",,,,,,,
1648055315-23,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Atletico Madrid,"€3,183.00","€165,500.00","€165,500.00","€22,880.00","€27,840.00","€41,100.00","€73,680.00",,,,,,,
1648055315-9,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Celta Vigo,€722.00,"€37,530.00","€37,530.00","€2,260.00","€8,780.00","€6,870.00","€19,620.00",,,,,,,
1648055315-15,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Granada,€422.00,"€21,930.00","€21,930.00",€370.00,"€5,940.00","€6,090.00","€9,530.00",,,,,,,
1648055315-34,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Alaves,€469.00,"€24,365.00","€24,365.00","€3,520.00","€3,755.00","€7,390.00","€9,700.00",,,,,,,
1648055315-31,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Leganes,€679.00,"€35,320.00","€35,320.00","€1,360.00","€7,620.00","€7,080.00","€19,260.00",,,,,,,
1648055315-40,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Mallorca,€241.00,"€12,520.00","€12,520.00","€1,590.00","€4,620.00","€1,470.00","€4,840.00",,,,,,,
1648055315-6,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Athletic Club,€929.00,"€48,330.00","€48,330.00","€2,560.00","€22,300.00","€5,280.00","€18,190.00",,,,,,,
1648055315-14,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Alaves,€469.00,"€24,365.00","€24,365.00","€3,520.00","€3,755.00","€7,390.00","€9,700.00",,,,,,,
1648055315-7,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Villarreal,€830.00,"€43,160.00","€43,160.00","€4,070.00","€10,120.00","€14,940.00","€14,030.00",,,,,,,
1648055315-19,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Osasuna,€273.00,"€14,180.00","€14,180.00","€1,120.00","€4,190.00","€1,520.00","€7,350.00",,,,,,,
1648055315-10,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Real Betis,€697.00,"€36,220.00","€36,220.00","€1,000.00","€10,920.00","€7,850.00","€16,450.00",,,,,,,
1648055315-18,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Valladolid,€290.00,"€15,090.00","€15,090.00","€1,750.00","€4,440.00","€2,910.00","€5,990.00",,,,,,,
1648055315-8,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Real Sociedad,€752.00,"€39,090.00","€39,090.00","€2,550.00","€9,390.00","€9,040.00","€18,110.00",,,,,,,
1648055315-28,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Real Sociedad,€752.00,"€39,090.00","€39,090.00","€2,550.00","€9,390.00","€9,040.00","€18,110.00",,,,,,,
1648055315-11,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Leganes,€679.00,"€35,320.00","€35,320.00","€1,360.00","€7,620.00","€7,080.00","€19,260.00",,,,,,,
1648055315-3,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Atletico Madrid,"€3,183.00","€165,500.00","€165,500.00","€22,880.00","€27,840.00","€41,100.00","€73,680.00",,,,,,,
1648055315-27,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Villarreal,€830.00,"€43,160.00","€43,160.00","€4,070.00","€10,120.00","€14,940.00","€14,030.00",,,,,,,
1648055315-5,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Sevilla,"€1,260.00","€65,510.00","€65,510.00","€4,170.00","€14,160.00","€13,860.00","€33,320.00",,,,,,,
1648055315-39,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Osasuna,€273.00,"€14,180.00","€14,180.00","€1,120.00","€4,190.00","€1,520.00","€7,350.00",,,,,,,
1648055315-24,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Valencia,"€1,449.00","€75,340.00","€75,340.00","€5,840.00","€26,000.00","€15,820.00","€27,680.00",,,,,,,
1648055315-12,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Espanyol,€645.00,"€33,520.00","€33,520.00","€5,500.00","€10,490.00","€6,220.00","€11,310.00",,,,,,,
1648055315-36,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Levante,€361.00,"€18,750.00","€18,750.00","€1,400.00","€6,400.00","€5,100.00","€5,850.00",,,,,,,
1648055315-26,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Athletic Club,€929.00,"€48,330.00","€48,330.00","€2,560.00","€22,300.00","€5,280.00","€18,190.00",,,,,,,
1648055315-13,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Getafe,€509.00,"€26,460.00","€26,460.00","€1,760.00","€10,430.00","€6,290.00","€7,980.00",,,,,,,
1648055315-30,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Real Betis,€697.00,"€36,220.00","€36,220.00","€1,000.00","€10,920.00","€7,850.00","€16,450.00",,,,,,,
1648055315-33,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Getafe,€509.00,"€26,460.00","€26,460.00","€1,760.00","€10,430.00","€6,290.00","€7,980.00",,,,,,,
1648055315-25,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Sevilla,"€1,260.00","€65,510.00","€65,510.00","€4,170.00","€14,160.00","€13,860.00","€33,320.00",,,,,,,
1648055315-1,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Real Madrid,"€6,982.00","€363,070.00","€363,070.00","€22,080.00","€104,000.00","€61,350.00","€175,640.00",,,,,,,
1648055315-29,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Celta Vigo,€722.00,"€37,530.00","€37,530.00","€2,260.00","€8,780.00","€6,870.00","€19,620.00",,,,,,,
1648055315-20,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Mallorca,€241.00,"€12,520.00","€12,520.00","€1,590.00","€4,620.00","€1,470.00","€4,840.00",,,,,,,
1648055315-22,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Barcelona,"€6,446.00","€335,180.00","€335,180.00","€15,190.00","€76,910.00","€78,830.00","€164,250.00",,,,,,,
1648055315-35,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Granada,€422.00,"€21,930.00","€21,930.00",€370.00,"€5,940.00","€6,090.00","€9,530.00",,,,,,,
1648055315-16,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Levante,€361.00,"€18,750.00","€18,750.00","€1,400.00","€6,400.00","€5,100.00","€5,850.00",,,,,,,
1648055315-37,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Eibar,€355.00,"€18,480.00","€18,480.00","€1,800.00","€5,370.00","€4,650.00","€6,660.00",,,,,,,
1648055315-2,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Barcelona,"€6,446.00","€335,180.00","€335,180.00","€15,190.00","€76,910.00","€78,830.00","€164,250.00",,,,,,,
1648055315-17,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Eibar,€355.00,"€18,480.00","€18,480.00","€1,800.00","€5,370.00","€4,650.00","€6,660.00",,,,,,,
1648055315-21,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Real Madrid,"€6,982.00","€363,070.00","€363,070.00","€22,080.00","€104,000.00","€61,350.00","€175,640.00",,,,,,,
1648055315-4,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Valencia,"€1,449.00","€75,340.00","€75,340.00","€5,840.00","€26,000.00","€15,820.00","€27,680.00",,,,,,,
1648055315-38,https://www.capology.com/es/la-liga/payrolls/2019-2020/,Valladolid,€290.00,"€15,090.00","€15,090.00","€1,750.00","€4,440.00","€2,910.00","€5,990.00",,,,,,,
