web-scraper-order,web-scraper-start-url,Club,Weekly Gross (IN EUR,000's),Annual Gross (IN EUR,000's),Adj Gross (IN EUR,000's),Keeper (IN EUR,000's),Defense (IN EUR,000's),Midfield (IN EUR,000's),Forward (IN EUR,000's)
1647795487-118,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Monaco,"€1,525.00","€79,280.00","€79,280.00","€6,210.00","€17,290.00","€17,050.00","€38,730.00",,,,,,,
1647795487-126,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Toulouse,€373.00,"€19,400.00","€19,400.00","€2,850.00","€4,300.00","€3,120.00","€9,130.00",,,,,,,
1647795487-145,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Nice,€474.00,"€24,630.00","€24,630.00","€2,180.00","€9,070.00","€4,550.00","€8,830.00",,,,,,,
1647795487-122,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Lille,€602.00,"€31,300.00","€31,300.00","€2,410.00","€7,230.00","€9,470.00","€12,190.00",,,,,,,
1647795487-120,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Marseille,€949.00,"€49,350.00","€49,350.00","€5,360.00","€10,900.00","€15,600.00","€17,490.00",,,,,,,
1647795487-156,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Brest,€149.00,"€7,740.00","€7,740.00",€700.00,"€2,180.00","€3,070.00","€1,790.00",,,,,,,
1647795487-119,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Lyon,"€1,210.00","€62,940.00","€62,940.00","€6,930.00","€23,300.00","€14,460.00","€18,250.00",,,,,,,
1647795487-150,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Angers,€251.00,"€13,070.00","€13,070.00",€890.00,"€4,480.00","€4,800.00","€2,900.00",,,,,,,
1647795487-152,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Reims,€227.00,"€11,820.00","€11,820.00",€840.00,"€2,850.00","€2,460.00","€5,670.00",,,,,,,
1647795487-134,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Dijon,€201.00,"€10,440.00","€10,440.00",€870.00,"€3,240.00","€2,210.00","€4,120.00",,,,,,,
1647795487-141,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Rennes,€679.00,"€35,330.00","€35,330.00","€1,770.00","€7,230.00","€13,830.00","€12,500.00",,,,,,,
1647795487-155,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Nimes,€154.00,"€8,010.00","€8,010.00",€650.00,"€2,600.00","€2,820.00","€1,940.00",,,,,,,
1647795487-146,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Toulouse,€373.00,"€19,400.00","€19,400.00","€2,850.00","€4,300.00","€3,120.00","€9,130.00",,,,,,,
1647795487-121,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Rennes,€679.00,"€35,330.00","€35,330.00","€1,770.00","€7,230.00","€13,830.00","€12,500.00",,,,,,,
1647795487-139,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Lyon,"€1,210.00","€62,940.00","€62,940.00","€6,930.00","€23,300.00","€14,460.00","€18,250.00",,,,,,,
1647795487-147,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Nantes,€365.00,"€18,960.00","€18,960.00","€1,360.00","€4,390.00","€4,880.00","€8,330.00",,,,,,,
1647795487-135,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Nimes,€154.00,"€8,010.00","€8,010.00",€650.00,"€2,600.00","€2,820.00","€1,940.00",,,,,,,
1647795487-138,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Monaco,"€1,525.00","€79,280.00","€79,280.00","€6,210.00","€17,290.00","€17,050.00","€38,730.00",,,,,,,
1647795487-153,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Metz,€212.00,"€11,020.00","€11,020.00",€510.00,"€3,170.00","€4,660.00","€2,680.00",,,,,,,
1647795487-129,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Amiens,€267.00,"€13,860.00","€13,860.00",€500.00,"€3,800.00","€2,880.00","€6,680.00",,,,,,,
1647795487-140,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Marseille,€949.00,"€49,350.00","€49,350.00","€5,360.00","€10,900.00","€15,600.00","€17,490.00",,,,,,,
1647795487-149,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Amiens,€267.00,"€13,860.00","€13,860.00",€500.00,"€3,800.00","€2,880.00","€6,680.00",,,,,,,
1647795487-133,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Metz,€212.00,"€11,020.00","€11,020.00",€510.00,"€3,170.00","€4,660.00","€2,680.00",,,,,,,
1647795487-142,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Lille,€602.00,"€31,300.00","€31,300.00","€2,410.00","€7,230.00","€9,470.00","€12,190.00",,,,,,,
1647795487-144,https://www.capology.com/fr/ligue-1/payrolls/2019-2020/,Saint-Etienne,€490.00,"€25,480.00","€25,480.00","€2,550.00","€8,050.00","€5,610.00","€9,270.00",,,,,,,
